threshold,cost_per_10k
0.858,4339148.443517699
0.859,4339148.443517699
0.86,4339148.443517699
0.861,4339148.443517699
0.862,4339148.443517699
0.863,4339148.443517699
0.864,4339148.443517699
0.865,4339148.443517699
0.866,4339148.443517699
0.867,4339148.443517699
0.868,4339148.443517699
0.869,4339148.443517699
0.87,4339148.443517699
0.871,4339148.443517699
0.872,4339148.443517699
0.873,4339148.443517699
0.874,4339148.443517699
0.875,4339148.443517699
0.876,4339148.443517699
0.877,4339148.443517699
0.878,4341452.474466532
0.879,4341452.474466532
0.88,4341452.474466532
0.881,4341452.474466532
0.882,4341452.474466532
0.883,4341452.474466532
0.884,4341452.474466532
0.885,4341452.474466532
0.886,4341452.474466532
0.887,4341452.474466532
0.888,4341452.474466532
0.889,4341452.474466532
0.89,4341452.474466532
0.891,4341452.474466532
0.892,4341452.474466532
0.893,4341452.474466532
0.894,4341452.474466532
0.895,4341452.474466532
0.896,4341452.474466532
0.897,4341452.474466532
0.898,4341452.474466532
0.899,4341452.474466532
0.9,4341452.474466532
0.901,4348292.599767777
0.902,4348292.599767777
0.903,4389584.0751035055
0.904,4389584.0751035055
0.905,4389584.0751035055
0.906,4389584.0751035055
0.907,4389584.0751035055
0.908,4389584.0751035055
0.909,4389584.0751035055
0.91,4389584.0751035055
0.911,4389584.0751035055
0.912,4389584.0751035055
0.913,4389584.0751035055
0.914,4389584.0751035055
0.915,4389584.0751035055
0.916,4389584.0751035055
0.917,4389584.0751035055
0.918,4389584.0751035055
0.919,4389584.0751035055
0.92,4389584.0751035055
0.921,4389584.0751035055
0.922,4389584.0751035055
0.923,4389584.0751035055
0.924,4389584.0751035055
0.925,4389584.0751035055
0.926,4389584.0751035055
0.927,4843520.767824964
0.928,4843520.767824964
0.929,4843520.767824964
0.93,4843520.767824964
0.931,4843520.767824964
0.932,4843520.767824964
0.933,4843520.767824964
0.934,4843520.767824964
0.935,4843520.767824964
0.936,4843520.767824964
0.937,4843520.767824964
0.9380000000000001,4843520.767824964
0.9390000000000001,4843520.767824964
0.9400000000000001,4843520.767824964
0.9410000000000001,4843520.767824964
0.9420000000000001,4843520.767824964
0.9430000000000001,4843520.767824964
0.9440000000000001,4843520.767824964
0.9450000000000001,4843520.767824964
0.9460000000000001,4843520.767824964
0.9470000000000001,4843520.767824964
0.9480000000000001,4843520.767824964
0.9490000000000001,4843520.767824964
0.9500000000000001,4843520.767824964
0.9510000000000001,4843520.767824964
0.9520000000000001,4843520.767824964
0.9530000000000001,4843520.767824964
0.9540000000000001,4843520.767824964
0.9550000000000001,4843520.767824964
0.9560000000000001,4843520.767824964
0.9570000000000001,4843520.767824964
0.9580000000000001,4843520.767824964
0.9590000000000001,4843520.767824964
0.96,4843520.767824964
0.961,4843520.767824964
0.962,4843520.767824964
0.963,4843520.767824964
0.964,4843520.767824964
0.965,4843520.767824964
0.966,4843520.767824964
0.967,4843520.767824964
0.968,4843520.767824964
0.969,4843520.767824964
0.97,4843520.767824964
0.971,4843520.767824964
0.972,4843520.767824964
0.973,4843520.767824964
0.974,4843520.767824964
0.975,4843520.767824964
0.976,4843520.767824964
0.977,4843520.767824964
0.978,4843520.767824964
0.979,4843520.767824964
0.98,4843520.767824964
0.981,4843520.767824964
0.982,4843520.767824964
0.983,4843520.767824964
0.984,4843520.767824964
0.985,4843520.767824964
0.986,4843520.767824964
0.987,4843520.767824964
0.988,4843520.767824964
0.989,4843520.767824964
0.99,4843520.767824964
0.991,4843520.767824964
0.992,4843520.767824964
0.993,4843520.767824964
0.994,4843520.767824964
0.995,4843520.767824964
0.996,4843520.767824964
0.997,4843520.767824964
0.998,4843520.767824964
0.999,4843520.767824964
1.0,4957413.684036736
